   Data;Vazão
17/04/2011;582.35
18/04/2011;554.96
19/04/2011;519.06
20/04/2011;479.36
21/04/2011;444.9
22/04/2011;416.41
23/04/2011;392.29
24/04/2011;369.99
25/04/2011;349.44
26/04/2011;330.53
27/04/2011;313.16
28/04/2011;296.27
29/04/2011;281.78
30/04/2011;268.58
01/05/2011;258.44
02/05/2011;250.3
03/05/2011;241.41
04/05/2011;233.54
05/05/2011;225.82
06/05/2011;219.06
07/05/2011;211.58
08/05/2011;205.05
09/05/2011;198.62
10/05/2011;192.3
11/05/2011;186.86
12/05/2011;182.25
13/05/2011;177.71
14/05/2011;173.22
15/05/2011;168.8
16/05/2011;165.15
17/05/2011;161.55
18/05/2011;157.99
19/05/2011;153.77
20/05/2011;148.92
21/05/2011;145.51
22/05/2011;142.13
23/05/2011;139.46
24/05/2011;138.14
25/05/2011;140.13
26/05/2011;144.15
27/05/2011;144.15
28/05/2011;138.8
29/05/2011;132.26
30/05/2011;125.88
31/05/2011;120.89
01/06/2011;116.61
02/06/2011;113
03/06/2011;110.04
04/06/2011;107.12
05/06/2011;104.25
06/06/2011;101.41
07/06/2011;98.61
08/06/2011;96.4
09/06/2011;94.22
10/06/2011;92.06
11/06/2011;90.46
12/06/2011;88.87
13/06/2011;88.87
14/06/2011;88.87
15/06/2011;87.82
16/06/2011;85.74
17/06/2011;82.16
18/06/2011;78.66
19/06/2011;76.69
20/06/2011;74.75
21/06/2011;72.84
22/06/2011;71.42
23/06/2011;69.55
24/06/2011;68.17
25/06/2011;66.8
26/06/2011;65.44
27/06/2011;64.1
28/06/2011;62.33
29/06/2011;61.46
30/06/2011;60.59
01/07/2011;59.73
02/07/2011;58.87
03/07/2011;58.02
04/07/2011;57.18
05/07/2011;56.35
06/07/2011;55.93
07/07/2011;55.1
08/07/2011;53.88
09/07/2011;53.06
10/07/2011;52.26
11/07/2011;51.46
12/07/2011;51.07
13/07/2011;50.28
14/07/2011;49.49
15/07/2011;49.88
16/07/2011;50.28
17/07/2011;49.88
18/07/2011;48.33
19/07/2011;47.19
20/07/2011;46.43
21/07/2011;45.68
22/07/2011;44.93
23/07/2011;44.56
24/07/2011;43.46
25/07/2011;43.1
26/07/2011;42.38
27/07/2011;41.66
28/07/2011;41.31
29/07/2011;40.6
30/07/2011;39.9
31/07/2011;39.21
01/08/2011;38.52
02/08/2011;38.18
03/08/2011;37.5
04/08/2011;36.83
05/08/2011;36.16
06/08/2011;35.83
07/08/2011;35.5
08/08/2011;35.17
09/08/2011;34.52
10/08/2011;34.2
11/08/2011;33.88
12/08/2011;33.24
13/08/2011;32.92
14/08/2011;32.61
15/08/2011;31.98
16/08/2011;31.98
17/08/2011;31.67
18/08/2011;31.36
19/08/2011;31.06
20/08/2011;31.06
21/08/2011;31.67
22/08/2011;32.3
23/08/2011;33.56
24/08/2011;33.24
25/08/2011;31.98
26/08/2011;31.06
27/08/2011;30.45
28/08/2011;30.15
29/08/2011;29.84
30/08/2011;29.55
31/08/2011;29.25
01/09/2011;28.95
02/09/2011;28.66
03/09/2011;28.66
04/09/2011;28.66
05/09/2011;28.36
06/09/2011;28.07
07/09/2011;27.78
08/09/2011;27.49
09/09/2011;27.2
10/09/2011;27.2
11/09/2011;26.64
12/09/2011;26.92
13/09/2011;27.2
14/09/2011;27.49
15/09/2011;28.07
16/09/2011;28.36
17/09/2011;27.78
18/09/2011;27.49
19/09/2011;27.49
20/09/2011;27.2
21/09/2011;26.64
22/09/2011;26.92
23/09/2011;27.49
24/09/2011;28.95
25/09/2011;31.06
26/09/2011;30.75
27/09/2011;31.06
28/09/2011;31.67
29/09/2011;36.16
30/09/2011;40.25
01/10/2011;38.52
02/10/2011;35.17
03/10/2011;36.16
04/10/2011;33.24
05/10/2011;32.61
06/10/2011;32.61
07/10/2011;31.06
08/10/2011;29.55
09/10/2011;28.66
10/10/2011;28.07
11/10/2011;30.15
12/10/2011;31.06
13/10/2011;31.67
14/10/2011;31.98
15/10/2011;30.75
16/10/2011;31.06
17/10/2011;32.3
18/10/2011;32.3
19/10/2011;33.24
20/10/2011;36.49
21/10/2011;43.46
22/10/2011;49.88
23/10/2011;55.1
24/10/2011;54.28
25/10/2011;47.95
26/10/2011;43.1
27/10/2011;39.9
28/10/2011;38.86
