data;vazao
19/07/2011;10.41
20/07/2011;10.16
21/07/2011;9.92
22/07/2011;10.16
23/07/2011;10.66
24/07/2011;10.16
25/07/2011;9.44
26/07/2011;8.72
27/07/2011;8.26
28/07/2011;8.02
29/07/2011;7.79
30/07/2011;7.57
31/07/2011;7.34
01/08/2011;7.12
02/08/2011;6.67
03/08/2011;6.67
04/08/2011;6.45
05/08/2011;6.24
06/08/2011;6.24
07/08/2011;6.02
08/08/2011;5.81
09/08/2011;5.6
10/08/2011;5.39
11/08/2011;5.18
12/08/2011;4.98
13/08/2011;4.78
14/08/2011;4.38
15/08/2011;4.38
16/08/2011;4.38
17/08/2011;4.18
18/08/2011;4.18
19/08/2011;3.99
20/08/2011;4.18
21/08/2011;6.45
22/08/2011;7.34
23/08/2011;6.67
24/08/2011;5.6
25/08/2011;5.18
26/08/2011;4.78
27/08/2011;4.38
28/08/2011;4.18
29/08/2011;3.99
30/08/2011;3.8
31/08/2011;3.61
01/09/2011;4.78
02/09/2011;5.18
03/09/2011;5.18
04/09/2011;4.78
05/09/2011;3.99
06/09/2011;3.8
07/09/2011;3.61
08/09/2011;3.42
09/09/2011;3.42
10/09/2011;3.8
11/09/2011;4.18
12/09/2011;4.18
13/09/2011;4.38
14/09/2011;4.57
15/09/2011;4.18
16/09/2011;3.99
17/09/2011;3.8
18/09/2011;3.8
19/09/2011;3.99
20/09/2011;4.18
21/09/2011;4.18
22/09/2011;4.38
23/09/2011;4.57
24/09/2011;4.38
25/09/2011;3.99
26/09/2011;7.34
27/09/2011;19.58
28/09/2011;15.62
29/09/2011;9.92
30/09/2011;8.49
01/10/2011;8.26
02/10/2011;8.49
03/10/2011;11.41
04/10/2011;11.66
05/10/2011;7.34
06/10/2011;6.02
07/10/2011;5.39
08/10/2011;4.98
09/10/2011;5.18
10/10/2011;5.18
11/10/2011;14
12/10/2011;14
13/10/2011;9.92
14/10/2011;7.79
15/10/2011;7.12
16/10/2011;6.24
17/10/2011;7.12
18/10/2011;7.57
19/10/2011;7.57
20/10/2011;8.26
21/10/2011;8.26
22/10/2011;9.2
23/10/2011;8.49
24/10/2011;8.49
25/10/2011;8.26
26/10/2011;6.89
27/10/2011;6.45
28/10/2011;9.2
29/10/2011;8.02
30/10/2011;7.12
31/10/2011;6.24
01/11/2011;10.16
02/11/2011;16.73
03/11/2011;10.16
04/11/2011;9.92
05/11/2011;11.92
06/11/2011;10.16
07/11/2011;9.68
08/11/2011;11.92
09/11/2011;10.41
10/11/2011;8.96
11/11/2011;7.57
12/11/2011;8.26
13/11/2011;7.79
14/11/2011;7.12
15/11/2011;6.89
16/11/2011;6.24
17/11/2011;12.17
18/11/2011;30.05
19/11/2011;36.19
20/11/2011;32.35
21/11/2011;18.71
22/11/2011;21.34
23/11/2011;21.04
24/11/2011;13.21
25/11/2011;12.17
26/11/2011;10.66
27/11/2011;10.16
28/11/2011;19.58
29/11/2011;16.73
30/11/2011;18.14
01/12/2011;17.01
02/12/2011;19
03/12/2011;21.64
04/12/2011;15.35
05/12/2011;20.45
06/12/2011;18.14
07/12/2011;13.74
08/12/2011;43.51
09/12/2011;83.72
10/12/2011;48.13
11/12/2011;36.19
12/12/2011;34.35
13/12/2011;42.61
14/12/2011;48.13
15/12/2011;43.82
16/12/2011;50.33
17/12/2011;50.65
18/12/2011;81.85
19/12/2011;121.96
20/12/2011;135.01
21/12/2011;113.1
22/12/2011;92.92
23/12/2011;71.25
24/12/2011;60.49
25/12/2011;70.54
26/12/2011;88.67
27/12/2011;73.04
28/12/2011;65.28
29/12/2011;69.48
30/12/2011;58.81
31/12/2011;55.49
01/01/2012;41.72
02/01/2012;69.83
03/01/2012;113.93
04/01/2012;91.75
05/01/2012;70.89
06/01/2012;55.17
07/01/2012;67.01
08/01/2012;78.14
09/01/2012;55.49
10/01/2012;47.5
11/01/2012;69.12
12/01/2012;63.9
13/01/2012;53.22
14/01/2012;65.28
15/01/2012;75.58
16/01/2012;53.86
17/01/2012;42.61
18/01/2012;41.12
19/01/2012;65.62
20/01/2012;52.57
21/01/2012;69.12
22/01/2012;149.41
23/01/2012;124.11
24/01/2012;90.98
25/01/2012;68.77
26/01/2012;71.97
27/01/2012;112.27
28/01/2012;121.54
29/01/2012;127.13
30/01/2012;106.09
31/01/2012;148.96
01/02/2012;104.06
02/02/2012;154.94
03/02/2012;139.46
04/02/2012;188.54
05/02/2012;150.33
06/02/2012;142.6
07/02/2012;128.43
08/02/2012;121.54
09/02/2012;108.14
10/02/2012;104.06
11/02/2012;135.01
12/02/2012;131.05
13/02/2012;85.61
14/02/2012;82.59
15/02/2012;102.04
16/02/2012;131.49
17/02/2012;132.81
18/02/2012;139.46
19/02/2012;131.49
20/02/2012;106.09
21/02/2012;94.49
22/02/2012;100.03
23/02/2012;135.9
24/02/2012;217.54
25/02/2012;179.24
26/02/2012;149.87
27/02/2012;137.23
28/02/2012;144.86
29/02/2012;181.29
01/03/2012;153.09
02/03/2012;233.22
03/03/2012;220.87
04/03/2012;190.63
05/03/2012;166.14
06/03/2012;128.43
07/03/2012;119.83
08/03/2012;131.49
09/03/2012;118.56
10/03/2012;143.96
11/03/2012;131.49
12/03/2012;126.26
13/03/2012;114.35
14/03/2012;127.13
15/03/2012;111.44
16/03/2012;107.32
17/03/2012;118.56
18/03/2012;120.68
19/03/2012;171.13
20/03/2012;176.18
21/03/2012;116.45
22/03/2012;105.28
23/03/2012;110.2
24/03/2012;122.82
25/03/2012;154.01
26/03/2012;122.82
27/03/2012;113.93
28/03/2012;114.35
29/03/2012;119.83
30/03/2012;102.04
31/03/2012;97.25
01/04/2012;94.88
02/04/2012;88.28
03/04/2012;84.48
04/04/2012;118.56
05/04/2012;110.2
06/04/2012;92.14
07/04/2012;126.26
08/04/2012;112.27
09/04/2012;86.37
10/04/2012;73.4
11/04/2012;67.36
12/04/2012;76.3
13/04/2012;79.98
14/04/2012;75.21
15/04/2012;69.12
16/04/2012;74.49
17/04/2012;78.87
18/04/2012;72.68
19/04/2012;78.87
20/04/2012;81.85
21/04/2012;76.3
22/04/2012;94.1
23/04/2012;82.59
24/04/2012;76.3
25/04/2012;69.12
26/04/2012;65.62
27/04/2012;62.18
28/04/2012;60.15
29/04/2012;59.14
30/04/2012;90.21
01/05/2012;87.52
02/05/2012;78.87
03/05/2012;71.61
04/05/2012;61.16
05/05/2012;42.91
06/05/2012;42.91
07/05/2012;50.65
08/05/2012;48.75
09/05/2012;46.88
10/05/2012;44.42
11/05/2012;43.21
12/05/2012;39.94
13/05/2012;38.77
14/05/2012;47.5
15/05/2012;42.91
16/05/2012;39.65
17/05/2012;41.42
18/05/2012;44.42
19/05/2012;41.72
20/05/2012;49.38
21/05/2012;80.73
22/05/2012;87.52
23/05/2012;75.21
24/05/2012;53.86
25/05/2012;44.42
26/05/2012;41.42
27/05/2012;38.19
28/05/2012;35.62
29/05/2012;33.68
30/05/2012;31.69
31/05/2012;31.36
01/06/2012;30.7
02/06/2012;29.4
03/06/2012;29.08
04/06/2012;39.06
05/06/2012;39.65
06/06/2012;54.51
07/06/2012;52.25
08/06/2012;45.03
09/06/2012;39.94
10/06/2012;37.9
11/06/2012;35.9
12/06/2012;34.35
13/06/2012;30.05
14/06/2012;30.05
15/06/2012;29.08
16/06/2012;28.44
17/06/2012;30.38
18/06/2012;29.4
19/06/2012;24.36
20/06/2012;21.64
21/06/2012;21.04
22/06/2012;20.45
23/06/2012;20.16
24/06/2012;20.16
25/06/2012;19.58
26/06/2012;19.29
27/06/2012;19.29
28/06/2012;19
29/06/2012;19
30/06/2012;18.71
01/07/2012;18.42
02/07/2012;17.57
03/07/2012;17.85
04/07/2012;17.85
05/07/2012;17.29
06/07/2012;17.01
07/07/2012;16.73
08/07/2012;16.45
09/07/2012;16.17
10/07/2012;15.9
11/07/2012;15.62
12/07/2012;15.08
13/07/2012;14.81
14/07/2012;14.54
15/07/2012;14.54
16/07/2012;14.27
17/07/2012;14
18/07/2012;13.74
19/07/2012;14.27
20/07/2012;13.47
21/07/2012;12.95
22/07/2012;11.92
23/07/2012;11.66
24/07/2012;12.43
25/07/2012;12.17
26/07/2012;12.17
27/07/2012;12.17
28/07/2012;12.17
29/07/2012;11.92
30/07/2012;10.66
31/07/2012;9.44
01/08/2012;9.2
02/08/2012;8.96
03/08/2012;8.49
04/08/2012;8.26
05/08/2012;7.79
06/08/2012;7.57
07/08/2012;7.34
08/08/2012;7.12
09/08/2012;6.89
10/08/2012;6.67
11/08/2012;6.45
12/08/2012;6.45
13/08/2012;6.45
14/08/2012;6.45
15/08/2012;6.45
16/08/2012;6.45
17/08/2012;6.45
18/08/2012;6.24
19/08/2012;6.24
20/08/2012;6.02
21/08/2012;6.02
22/08/2012;5.81
23/08/2012;5.6
24/08/2012;5.39
25/08/2012;5.18
26/08/2012;4.98
27/08/2012;4.98
28/08/2012;4.78
29/08/2012;4.57
30/08/2012;4.57
31/08/2012;4.57
01/09/2012;4.38
02/09/2012;4.18
03/09/2012;4.18
04/09/2012;3.99
05/09/2012;3.99
06/09/2012;3.8
07/09/2012;3.61
08/09/2012;3.61
09/09/2012;3.42
10/09/2012;3.42
11/09/2012;3.42
12/09/2012;3.42
13/09/2012;5.81
14/09/2012;9.44
15/09/2012;9.68
16/09/2012;8.49
17/09/2012;5.39
18/09/2012;5.18
19/09/2012;4.78
20/09/2012;4.57
21/09/2012;4.57
22/09/2012;4.38
23/09/2012;4.38
24/09/2012;4.38
25/09/2012;4.38
26/09/2012;6.89
27/09/2012;12.17
28/09/2012;10.66
29/09/2012;9.44
30/09/2012;6.67
01/10/2012;6.24
02/10/2012;6.02
03/10/2012;5.81
04/10/2012;5.81
05/10/2012;6.45
06/10/2012;7.12
07/10/2012;7.57
08/10/2012;9.68
09/10/2012;10.91
10/10/2012;11.16
11/10/2012;9.44
12/10/2012;8.02
13/10/2012;7.57
14/10/2012;6.45
15/10/2012;7.57
16/10/2012;7.79
17/10/2012;8.26
18/10/2012;7.12
19/10/2012;6.45
20/10/2012;5.18
21/10/2012;5.6
22/10/2012;5.18
23/10/2012;4.78
24/10/2012;4.57
25/10/2012;4.18
26/10/2012;3.8
27/10/2012;3.99
28/10/2012;4.18
29/10/2012;4.18
30/10/2012;4.18
31/10/2012;4.18
01/11/2012;4.38
02/11/2012;8.02
03/11/2012;11.16
04/11/2012;8.02
05/11/2012;8.02
06/11/2012;7.12
07/11/2012;6.02
08/11/2012;6.02
09/11/2012;9.44
10/11/2012;8.49
11/11/2012;5.39
12/11/2012;6.02
13/11/2012;13.47
14/11/2012;11.66
15/11/2012;41.72
16/11/2012;43.51
17/11/2012;16.17
18/11/2012;16.17
19/11/2012;16.17
20/11/2012;14
21/11/2012;34.68
22/11/2012;52.89
23/11/2012;50.33
24/11/2012;17.29
25/11/2012;47.19
26/11/2012;15.62
27/11/2012;12.95
28/11/2012;11.92
29/11/2012;12.43
30/11/2012;11.41
01/12/2012;10.16
02/12/2012;11.92
03/12/2012;11.92
04/12/2012;11.66
05/12/2012;52.89
06/12/2012;61.5
07/12/2012;49.07
08/12/2012;40.53
09/12/2012;18.42
10/12/2012;20.45
11/12/2012;21.94
12/12/2012;14.54
13/12/2012;21.94
14/12/2012;23.75
15/12/2012;24.98
16/12/2012;29.08
17/12/2012;34.68
18/12/2012;28.76
19/12/2012;24.98
20/12/2012;52.89
21/12/2012;52.89
22/12/2012;37.62
23/12/2012;34.68
24/12/2012;31.36
25/12/2012;18.42
26/12/2012;17.29
27/12/2012;21.94
28/12/2012;28.12
29/12/2012;31.36
30/12/2012;33.68
31/12/2012;35.9
01/01/2013;37.04
02/01/2013;40.53
03/01/2013;61.5
04/01/2013;49.7
05/01/2013;50.65
06/01/2013;37.62
07/01/2013;39.94
08/01/2013;42.01
09/01/2013;45.96
10/01/2013;51.29
11/01/2013;54.51
12/01/2013;61.16
13/01/2013;100.03
14/01/2013;170.13
15/01/2013;186.46
16/01/2013;191.68
17/01/2013;200.16
18/01/2013;121.96
19/01/2013;108.14
20/01/2013;106.09
21/01/2013;106.09
22/01/2013;138.12
23/01/2013;187.5
24/01/2013;166.14
25/01/2013;176.18
26/01/2013;117.29
27/01/2013;74.85
28/01/2013;71.61
29/01/2013;61.5
30/01/2013;59.48
31/01/2013;61.84
01/02/2013;62.87
02/02/2013;92.14
03/02/2013;129.3
04/02/2013;132.81
05/02/2013;108.14
06/02/2013;110.2
07/02/2013;111.44
08/02/2013;96.06
09/02/2013;92.14
10/02/2013;186.46
11/02/2013;286.49
12/02/2013;241.22
13/02/2013;224.21
14/02/2013;186.46
15/02/2013;196.96
16/02/2013;186.46
17/02/2013;176.18
18/02/2013;133.69
19/02/2013;127.13
20/02/2013;186.46
21/02/2013;220.87
22/02/2013;235.49
23/02/2013;258.72
24/02/2013;307.72
25/02/2013;282.8
26/02/2013;276.7
27/02/2013;166.14
28/02/2013;162.19
01/03/2013;113.52
02/03/2013;111.02
03/03/2013;113.52
04/03/2013;111.02
05/03/2013;107.32
06/03/2013;103.65
07/03/2013;101.24
08/03/2013;99.23
09/03/2013;104.06
10/03/2013;102.04
11/03/2013;110.2
12/03/2013;115.61
13/03/2013;119.41
14/03/2013;121.96
15/03/2013;148.5
16/03/2013;119.83
17/03/2013;144.86
18/03/2013;148.5
19/03/2013;152.17
20/03/2013;214.24
21/03/2013;214.24
22/03/2013;200.16
23/03/2013;139.46
24/03/2013;143.5
25/03/2013;119.41
26/03/2013;131.49
27/03/2013;154.48
28/03/2013;132.81
29/03/2013;128.87
30/03/2013;126.7
31/03/2013;124.54
01/04/2013;125.4
02/04/2013;128
03/04/2013;126.26
04/04/2013;122.39
05/04/2013;120.26
06/04/2013;118.14
07/04/2013;120.26
08/04/2013;113.93
09/04/2013;117.71
10/04/2013;121.96
11/04/2013;127.13
12/04/2013;138.12
13/04/2013;140.35
14/04/2013;142.15
15/04/2013;146.22
16/04/2013;150.79
17/04/2013;148.5
18/04/2013;143.5
19/04/2013;139.46
20/04/2013;127.13
21/04/2013;118.56
22/04/2013;115.19
23/04/2013;109.37
24/04/2013;107.73
25/04/2013;105.68
26/04/2013;103.65
27/04/2013;101.64
28/04/2013;106.09
29/04/2013;108.55
30/04/2013;115.61
01/05/2013;113.52
02/05/2013;107.32
03/05/2013;103.65
04/05/2013;102.04
05/05/2013;98.84
06/05/2013;96.46
07/05/2013;95.67
08/05/2013;109.37
09/05/2013;107.32
10/05/2013;87.9
11/05/2013;89.82
12/05/2013;94.1
13/05/2013;89.82
14/05/2013;77.04
15/05/2013;68.07
16/05/2013;65.28
17/05/2013;62.52
18/05/2013;57.81
19/05/2013;46.26
20/05/2013;57.81
21/05/2013;38.77
22/05/2013;44.73
23/05/2013;42.61
24/05/2013;41.72
25/05/2013;40.23
26/05/2013;44.42
27/05/2013;42.91
28/05/2013;41.12
29/05/2013;42.01
30/05/2013;41.72
31/05/2013;42.91
01/06/2013;42.61
02/06/2013;41.12
03/06/2013;39.65
04/06/2013;38.77
05/06/2013;37.33
06/06/2013;37.33
07/06/2013;36.76
08/06/2013;36.19
09/06/2013;35.06
10/06/2013;33.34
11/06/2013;31.03
12/06/2013;30.7
13/06/2013;30.05
14/06/2013;30.05
15/06/2013;29.73
16/06/2013;33.68
17/06/2013;34.68
18/06/2013;31.36
19/06/2013;21.64
20/06/2013;29.4
21/06/2013;29.4
22/06/2013;17.57
23/06/2013;23.44
24/06/2013;24.36
25/06/2013;24.06
26/06/2013;22.84
27/06/2013;21.04
28/06/2013;19
29/06/2013;17.57
30/06/2013;19.87
01/07/2013;38.77
02/07/2013;34.01
03/07/2013;29.08
04/07/2013;26.54
05/07/2013;24.06
06/07/2013;23.75
07/07/2013;23.14
08/07/2013;23.44
09/07/2013;22.84
10/07/2013;21.34
11/07/2013;18.14
12/07/2013;17.01
13/07/2013;17.01
14/07/2013;15.62
15/07/2013;15.62
16/07/2013;15.08
17/07/2013;14.81
18/07/2013;14
19/07/2013;13.47
20/07/2013;12.95
21/07/2013;12.43
22/07/2013;12.43
23/07/2013;13.21
24/07/2013;15.08
25/07/2013;15.08
26/07/2013;14.27
27/07/2013;13.74
28/07/2013;12.69
29/07/2013;12.17
30/07/2013;11.16
31/07/2013;10.41
01/08/2013;10.16
02/08/2013;9.92
03/08/2013;9.68
04/08/2013;9.68
05/08/2013;9.44
06/08/2013;9.2
07/08/2013;8.96
08/08/2013;8.49
09/08/2013;8.26
10/08/2013;7.79
11/08/2013;7.57
12/08/2013;7.12
13/08/2013;7.12
14/08/2013;7.12
15/08/2013;7.12
16/08/2013;6.89
17/08/2013;6.89
18/08/2013;6.89
19/08/2013;6.67
20/08/2013;6.67
21/08/2013;6.45
22/08/2013;6.24
23/08/2013;6.02
24/08/2013;6.67
25/08/2013;16.45
26/08/2013;8.49
27/08/2013;8.02
28/08/2013;7.79
29/08/2013;7.57
30/08/2013;7.34
31/08/2013;7.34
01/09/2013;7.34
02/09/2013;6.67
03/09/2013;6.24
04/09/2013;6.02
05/09/2013;5.81
06/09/2013;5.6
07/09/2013;6.89
08/09/2013;8.02
09/09/2013;7.57
10/09/2013;8.49
11/09/2013;7.34
12/09/2013;8.26
13/09/2013;7.12
14/09/2013;6.89
15/09/2013;8.26
16/09/2013;9.44
17/09/2013;9.92
18/09/2013;10.41
19/09/2013;9.44
20/09/2013;8.02
21/09/2013;7.57
22/09/2013;7.34
23/09/2013;6.89
24/09/2013;6.45
25/09/2013;6.02
26/09/2013;5.81
27/09/2013;5.6
28/09/2013;5.39
29/09/2013;5.18
30/09/2013;4.98
01/10/2013;4.98
02/10/2013;4.98
03/10/2013;4.98
04/10/2013;6.45
05/10/2013;8.96
06/10/2013;9.68
07/10/2013;9.92
08/10/2013;10.16
09/10/2013;9.44
10/10/2013;9.68
11/10/2013;9.44
12/10/2013;10.91
13/10/2013;17.29
14/10/2013;19.58
15/10/2013;17.01
16/10/2013;18.14
17/10/2013;22.24
18/10/2013;15.62
19/10/2013;12.17
20/10/2013;11.16
21/10/2013;10.66
22/10/2013;9.2
23/10/2013;8.26
24/10/2013;7.57
25/10/2013;7.79
26/10/2013;8.02
27/10/2013;8.49
28/10/2013;9.2
29/10/2013;9.2
30/10/2013;8.96
31/10/2013;8.72
01/11/2013;9.92
02/11/2013;20.16
03/11/2013;19
04/11/2013;22.54
05/11/2013;19
06/11/2013;14.54
07/11/2013;12.95
08/11/2013;12.69
09/11/2013;16.17
10/11/2013;20.16
11/11/2013;18.71
12/11/2013;17.29
13/11/2013;17.01
14/11/2013;16.73
15/11/2013;20.45
16/11/2013;20.75
17/11/2013;20.16
18/11/2013;31.36
19/11/2013;37.04
20/11/2013;29.73
21/11/2013;36.19
22/11/2013;37.33
23/11/2013;36.76
24/11/2013;36.19
25/11/2013;37.33
26/11/2013;60.49
27/11/2013;54.19
28/11/2013;51.29
29/11/2013;50.01
30/11/2013;41.72
01/12/2013;39.65
02/12/2013;39.35
03/12/2013;39.65
04/12/2013;40.23
05/12/2013;42.91
06/12/2013;24.36
07/12/2013;24.06
08/12/2013;39.94
09/12/2013;39.65
10/12/2013;39.06
11/12/2013;28.44
12/12/2013;22.54
13/12/2013;23.75
14/12/2013;37.62
15/12/2013;30.7
16/12/2013;42.91
17/12/2013;36.19
18/12/2013;72.68
19/12/2013;74.12
20/12/2013;49.38
21/12/2013;49.7
22/12/2013;56.81
23/12/2013;62.52
24/12/2013;57.81
25/12/2013;50.01
26/12/2013;42.01
27/12/2013;38.19
28/12/2013;38.19
29/12/2013;33.68
30/12/2013;38.19
31/12/2013;44.42
01/01/2014;50.01
02/01/2014;46.57
03/01/2014;45.96
04/01/2014;47.19
