Data Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
17/10/2020 0,12.3,12.6,12.3,81,83,81,9.1,9.7,9.1,918.4,918.5,918.3,1.7,87,5,,0
17/10/2020 1,11.6,12.3,11.6,82,82,80,8.6,9.1,8.5,918.2,918.4,918.2,0.6,92,4.2,,0
17/10/2020 2,11.9,11.9,11.4,83,83,82,9.1,9.1,8.5,917.5,918.3,917.5,0.5,57,2.1,,0
17/10/2020 3,11.6,11.9,11.6,84,84,83,8.9,9.1,8.8,916.9,917.5,916.9,0.8,100,2.6,,0
17/10/2020 4,11.8,11.8,11.4,84,85,84,9.3,9.3,8.9,916.2,916.9,916.2,0.6,97,3.1,,0
17/10/2020 5,11.9,12,11.8,98,98,84,11.6,11.6,9.3,915.7,916.2,915.7,1,95,2.9,,0
17/10/2020 6,12.3,12.4,11.9,79,98,76,8.8,11.6,8.2,915.5,915.7,915.5,0.5,103,7.1,,0
17/10/2020 7,11.3,12.3,11.3,83,83,79,8.5,8.9,8.4,915.6,915.7,915.5,0.5,111,3.7,,0
17/10/2020 8,11.6,11.6,11.2,84,85,82,9,9,8.4,916,916,915.6,1.4,104,4.4,33.01,0
17/10/2020 9,13,14,11.6,68,84,67,7.3,9.5,7.3,916.5,916.5,915.9,2.1,89,5.1,392.61,0
17/10/2020 10,14.2,14.4,12.8,68,71,67,8.4,8.8,7.2,917.2,917.2,916.6,2.9,80,5.8,909.6,0
17/10/2020 11,14.9,15.7,14,66,69,65,8.6,9.6,8.1,917.5,917.5,917.2,4.1,66,8.2,1167.2,0
17/10/2020 12,17.7,17.8,14.8,59,67,57,9.5,9.8,8.3,917.4,917.6,917.3,3.5,57,8.2,2301.47,0
17/10/2020 13,18.6,18.6,16.8,56,61,53,9.6,10,8.3,917.2,917.4,917.2,3.9,70,9,2848.14,0
17/10/2020 14,18.6,19.5,18,53,58,53,8.7,10.5,8.7,916.7,917.2,916.7,3.9,76,9.1,3529.44,0
17/10/2020 15,18.5,19.7,17.8,58,60,53,10.1,10.8,8.8,916.2,916.7,916.1,3,98,9.4,2454.26,0
17/10/2020 16,18.5,19.9,18.1,56,60,51,9.6,11,9.1,915.3,916.1,915.3,3.5,97,7.4,2144.04,0
17/10/2020 17,17.4,19.6,17.4,60,61,54,9.6,11.1,9.4,914.8,915.3,914.8,3.7,76,7.7,1320.34,0
17/10/2020 18,15.9,17.7,15.9,74,74,60,11.2,11.4,9.6,914.8,914.9,914.7,3.1,81,8.1,494.69,0
17/10/2020 19,15.8,16.4,15.6,72,75,68,10.8,11.5,10.2,915,915,914.7,2.9,86,6.7,299.82,0
17/10/2020 20,15.4,15.8,15.4,72,75,72,10.4,11.2,10.3,915,915.1,915,2.9,98,6.2,128.49,0
17/10/2020 21,15,15.7,15,74,74,71,10.4,10.6,10.1,915.4,915.5,915,2.9,80,8.3,0.53,0
17/10/2020 22,14.3,15,14.3,76,76,72,10,10.4,9.8,915.5,915.7,915.4,3.9,74,8.5,,0
17/10/2020 23,13.3,14.3,13.3,79,80,76,9.8,10,9.7,915.2,915.5,915.2,1.8,80,8.2,,0
